;a;b;di;elev;ht;rh;rmse;rs;spd
62;-9999;-9999;-9999;0.5;0.330178736875;31.2488100958;-9999;-9999;-9999
63;-9999;-9999;-9999;0.5;0.336395865232;31.7487910573;-9999;-9999;-9999
64;-9999;-9999;-9999;0.5;0.342642418082;32.2487720188;-9999;-9999;-9999
65;-9999;-9999;-9999;0.5;0.348918395361;32.7487529804;-9999;-9999;-9999
66;-9999;-9999;-9999;0.5;0.355223797005;33.2487339419;-9999;-9999;-9999
67;-9999;-9999;-9999;0.5;0.361558622946;33.7487149034;-9999;-9999;-9999
68;-9999;-9999;-9999;0.5;0.36792287312;34.2486958649;-9999;-9999;-9999
69;-9999;-9999;-9999;0.5;0.374316547459;34.7486768265;-9999;-9999;-9999
70;-9999;-9999;-9999;0.5;0.380739645898;35.248657788;-9999;-9999;-9999
71;-9999;-9999;-9999;0.5;0.387192168369;35.7486387495;-9999;-9999;-9999
72;-9999;-9999;-9999;0.5;0.393674114806;36.2486197111;-9999;-9999;-9999
73;-9999;-9999;-9999;0.5;0.400185485143;36.7486006726;-9999;-9999;-9999
74;-9999;-9999;-9999;0.5;0.406726279311;37.2485816341;-9999;-9999;-9999
75;-9999;-9999;-9999;0.5;0.413296497241;37.7485625957;-9999;-9999;-9999
76;-9999;-9999;-9999;0.5;0.419896138865;38.2485435572;-9999;-9999;-9999
77;-9999;-9999;-9999;0.5;0.426525204117;38.7485245187;-9999;-9999;-9999
78;-9999;-9999;-9999;0.5;0.433183692923;39.2485054803;-9999;-9999;-9999
79;-9999;-9999;-9999;0.5;0.439871605218;39.7484864418;-9999;-9999;-9999
80;-9999;-9999;-9999;0.5;0.446588940933;40.2484674033;-9999;-9999;-9999
81;-9999;-9999;-9999;0.5;0.453335699996;40.7484483649;-9999;-9999;-9999
82;-9999;-9999;-9999;0.5;0.460111882338;41.2484293264;-9999;-9999;-9999
83;-9999;-9999;-9999;0.5;0.466917487887;41.7484102879;-9999;-9999;-9999
84;-9999;-9999;-9999;0.5;0.473752516575;42.2483912495;-9999;-9999;-9999
85;-9999;-9999;-9999;0.5;0.480616968329;42.748372211;-9999;-9999;-9999
86;-9999;-9999;-9999;0.5;0.487510843077;43.2483531725;-9999;-9999;-9999
87;-9999;-9999;-9999;0.5;0.494434140748;43.7483341341;-9999;-9999;-9999
88;-9999;-9999;-9999;0.5;0.501386861271;44.2483150956;-9999;-9999;-9999
89;-9999;-9999;-9999;0.5;0.508369004574;44.7482960571;-9999;-9999;-9999
90;-9999;-9999;-9999;0.5;0.515380570585;45.2482770187;-9999;-9999;-9999
91;-9999;-9999;-9999;0.5;0.522421559228;45.7482579802;-9999;-9999;-9999
92;-9999;-9999;-9999;0.5;0.529491970432;46.2482389417;-9999;-9999;-9999
93;-9999;-9999;-9999;0.5;0.536591804124;46.7482199033;-9999;-9999;-9999
94;-9999;-9999;-9999;0.5;0.543721060229;47.2482008648;-9999;-9999;-9999
95;-9999;-9999;-9999;0.5;0.550879738672;47.7481818263;-9999;-9999;-9999
96;-9999;-9999;-9999;0.5;0.558067839382;48.2481627878;-9999;-9999;-9999
